ppnr,group,gender,age,Extra,Agree,Con,Neur,Open
1,1,male,11,3.909090909090909,3.7333333333333334,3.1,2.6,3.111111111111111
3,1,female,10,4.545454545454546,3.933333333333333,2.9,3.4,4
4,1,male,10,3.272727272727273,2.933333333333333,2.7,2.6,2.888888888888889
11,1,female,10,3.1818181818181817,4.266666666666667,3.1,3.4,3.111111111111111
12,1,male,10,2.727272727272727,3.7333333333333334,3.9,3,3.6666666666666665
13,1,female,10,4,4.133333333333334,2.7,1.6,2.888888888888889
14,1,male,11,4,3.8,3.4,4.2,3.888888888888889
15,1,male,10,4.2727272727272725,4.533333333333333,3.5,2,4.111111111111111
17,1,female,11,4.090909090909091,4,3.5,2.4,3.2222222222222223
18,1,female,12,3.6363636363636362,3.3333333333333335,3.1,3.2,2.6666666666666665
21,1,female,12,4.454545454545454,4.266666666666667,3.9,2.8,3.6666666666666665
26,1,male,12,3.909090909090909,2.4,3,2.6,4.111111111111111
27,1,male,11,2.909090909090909,2.4,3.9,3.8,3.6666666666666665
28,1,male,10,3.1818181818181817,3.3333333333333335,3.4,3.2,3.5555555555555554
29,1,male,9,2.909090909090909,3.933333333333333,3.4,2.6,3.111111111111111
30,1,male,9,3.3636363636363638,3.066666666666667,3.7,3,2.888888888888889
35,1,female,9,4.090909090909091,3.533333333333333,3.1,3.2,2.6666666666666665
36,1,female,10,4.2727272727272725,3.8,3.2,3.2,4.555555555555555
39,1,female,9,3.8181818181818183,3.533333333333333,3,4.2,2.2222222222222223
40,1,female,10,3.6363636363636362,3.8666666666666667,3.3,2.4,3.7777777777777777
41,1,male,10,2.909090909090909,4,2.9,2.8,3.6666666666666665
44,1,female,9,3,4.266666666666667,4.2,2.6,3.7777777777777777
45,1,female,9,3.272727272727273,3.8,4,1.4,3.111111111111111
46,1,female,10,2.909090909090909,3.6,3.2,2.4,2.5555555555555554
47,1,male,10,3.272727272727273,3.7333333333333334,3,3.6,2.7777777777777777
48,1,female,10,2.909090909090909,3.7333333333333334,3.4,2.2,2.7777777777777777
49,1,male,9,2.5454545454545454,3.6666666666666665,3.3333333333333335,1.8,2.5555555555555554
51,1,male,9,3.727272727272727,NA,2.888888888888889,1.8,4.375
54,1,female,10,3.5454545454545454,3.466666666666667,4.1,2.6,3.4444444444444446
56,1,male,9,3.4545454545454546,3.4,3,3.25,4
60,1,male,9,3.5454545454545454,2.8666666666666667,2.8,2.2,3.4444444444444446
62,1,female,9,3.909090909090909,3.3333333333333335,3.6,2.8,3.2222222222222223
65,1,male,10,3,3,3,3.4,2.6666666666666665
66,1,female,10,4.181818181818182,3.933333333333333,3.6,2.8,2.6666666666666665
68,1,male,11,3.5454545454545454,3.1333333333333333,4.1,2.8,4.444444444444445
69,1,female,11,3.909090909090909,3.7333333333333334,3.7,3.4,3.2222222222222223
71,1,male,11,3.090909090909091,2.7333333333333334,3.2,1.8,2.7777777777777777
72,1,male,11,4.090909090909091,2.8,3.7,2.8,3.888888888888889
76,1,female,10,3.1818181818181817,4.4,4.5,4.4,3.5555555555555554
77,1,male,10,3.272727272727273,2.8666666666666667,2.7,2.2,3.4444444444444446
79,1,female,11,4.363636363636363,4.066666666666666,3,3.4,3.7777777777777777
81,1,male,11,4,4.733333333333333,3.3,3.2,3
85,1,female,10,4.454545454545454,3.8,3.4,2.8,3
89,1,female,11,3.8181818181818183,3.4,3.3,2.8,2.7777777777777777
90,1,female,12,2.5454545454545454,3.466666666666667,2.2,4.4,3
94,1,female,12,2.6363636363636362,3.2,2.9,3,2.2222222222222223
97,1,male,11,3.727272727272727,3.4,3.8,3.2,3.2222222222222223
102,1,male,11,2.909090909090909,3.1333333333333333,3.5,2,2.6666666666666665
105,1,female,10,4.090909090909091,4.133333333333334,3,1.6,4
110,1,female,11,NA,NA,NA,NA,NA
115,1,male,9,4,4.066666666666666,4.6,1.4,3.6666666666666665
117,1,male,10,4.454545454545454,2.6666666666666665,3.2,4,3.4444444444444446
120,1,female,9,3.5454545454545454,2.6666666666666665,2.5,4,4.333333333333333
122,1,male,10,4.363636363636363,4.133333333333334,4.5,1.2,4.555555555555555
123,1,male,9,3.3636363636363638,4.466666666666667,4.6,1.4,3.2222222222222223
124,1,female,9,2.6,4.076923076923077,3.3,2.2,2.888888888888889
5,2,female,10,4.181818181818182,4.666666666666667,3.8,2,3.3333333333333335
6,2,female,11,3.1818181818181817,4.4,3.7,4.4,4.444444444444445
8,2,female,10,4.181818181818182,4.266666666666667,3.4,2.6,3.7777777777777777
10,2,female,10,3.3636363636363638,3.6666666666666665,3.6,2.8,2.7777777777777777
20,2,male,11,3.6363636363636362,3.6666666666666665,3.9,2,3.2222222222222223
22,2,female,12,3.727272727272727,3.933333333333333,3.1,3.4,3.3333333333333335
23,2,female,11,3.6363636363636362,4.133333333333334,4.2,2,3.111111111111111
24,2,female,12,3.272727272727273,3.466666666666667,3.8,1.8,3.5555555555555554
25,2,male,11,3.6363636363636362,3.6,3.1,1.8,3.3333333333333335
31,2,male,9,4.090909090909091,3.7333333333333334,3.4,1.6,3.2222222222222223
32,2,female,10,3.4545454545454546,2.7333333333333334,2.8,3.8,2.7777777777777777
33,2,male,10,3.090909090909091,3.2666666666666666,3.6,1.8,3.3333333333333335
37,2,female,10,3.272727272727273,4.2,3.3,2.6,3
38,2,male,9,3.909090909090909,4,3.5,4,4.444444444444445
43,2,male,10,4.181818181818182,3.8666666666666667,2.8,2.8,3.7777777777777777
52,2,female,9,3.727272727272727,3.1333333333333333,3,2,3.111111111111111
61,2,male,9,3.4545454545454546,4.333333333333333,4.1,2,3.7777777777777777
63,2,male,11,3.272727272727273,3.066666666666667,3.2,3,3.5555555555555554
64,2,female,11,3.909090909090909,3.6,3.2,2.2,3.111111111111111
67,2,male,11,3.5454545454545454,3.3333333333333335,3.7,2.8,3.7777777777777777
70,2,male,10,4,3.8,2.4,4.6,3.3333333333333335
73,2,male,10,4.181818181818182,4,3,2,4
75,2,female,11,3.727272727272727,3.933333333333333,3.5,2.6,4.444444444444445
78,2,female,10,4.7272727272727275,4.733333333333333,4.8,2.8,4.777777777777778
80,2,female,10,2.8181818181818183,2.933333333333333,2.6,3.6,3.4444444444444446
88,2,female,11,3.6363636363636362,4.4,4.2,1.8,3.888888888888889
91,2,male,11,2.727272727272727,3.4,2.8,2.6,2.4444444444444446
92,2,male,11,3.727272727272727,3.6,3.7,2.8,3
95,2,female,12,3.3636363636363638,3.8,4,1.8,3.3333333333333335
96,2,female,12,3.090909090909091,4.4,4.3,3.2,3.5555555555555554
98,2,male,11,4.2727272727272725,3.533333333333333,2.2,5,3.3333333333333335
100,2,female,11,2.909090909090909,3.933333333333333,4,1.8,3.111111111111111
101,2,male,9,3.1818181818181817,3.6666666666666665,3.7,3.2,3.5555555555555554
103,2,female,10,3.909090909090909,3.8666666666666667,3.9,2.6,5
106,2,male,11,3.272727272727273,3.2,3.1,2.2,2.888888888888889
107,2,male,9,3.8181818181818183,2.8666666666666667,3.2,3,3.6666666666666665
108,2,male,10,3,NA,4,3.2,3
109,2,female,10,4.363636363636363,3.7333333333333334,4.2,4,3.6666666666666665
111,2,female,10,3.1818181818181817,4.642857142857143,4.1,2.4,3.6666666666666665
112,2,male,10,2.727272727272727,3.6666666666666665,3.1,2,2.111111111111111
113,2,female,9,3.1818181818181817,3.933333333333333,3.7,2.6,3.4444444444444446
114,2,female,10,3.6363636363636362,3.6,4.1,3.2,3.888888888888889
116,2,female,9,3.272727272727273,3.533333333333333,3.1,2.8,2.888888888888889
118,2,female,10,4.090909090909091,3.4,3.9,4,3.5555555555555554
119,2,male,9,3.5454545454545454,3,2.8,3.2,3.5555555555555554
121,2,female,9,3.6363636363636362,3.533333333333333,3.8,2.4,3.4444444444444446
125,2,male,10,4.454545454545454,4.2,3.1,2,4.333333333333333
126,2,male,10,3.4545454545454546,2.8,3.2222222222222223,2.8,3.2222222222222223
